"","NDVI"
"883",8354
"884",8837
"885",8622
"886",8745
"887",8642
"888",8672
"889",8591
"890",8689
"891",8110
"892",8086
"893",7444
"894",6657
"895",8636
"896",8856
"897",8076
"898",8853
"899",8686
"900",7950
"901",7593
"902",7719
"903",7946
"904",8450
"905",8718
"906",8749
"907",8686
"908",8695
"909",8731
"910",7983
"911",7911
"912",7472
"913",7710
"914",8983
"915",8757
"916",7887
"917",8827
"918",8890
"919",8649
"920",7877
"921",7977
"922",7330
"923",8844
"924",8540
"925",8104
"926",8758
"927",8820
"928",8679
"929",8770
"930",8155
"931",7774
"932",8589
"933",7300
"934",8488
"935",7673
"936",8042
"937",7975
"938",8142
"939",8001
"940",7718
"941",7672
"942",8818
"943",8024
"944",7720
"945",6523
"946",8620
"947",8043
"948",7463
"949",7768
"950",8927
"951",8628
"952",6818
"953",8814
"954",8627
"955",8386
"956",8588
"957",9059
"958",8729
"959",7977
"960",6470
"961",8788
"962",8752
"963",8627
"964",8723
"965",8594
"966",8800
"967",8885
"968",8798
"969",7971
"970",6242
"971",8415
"972",8678
"973",8790
"974",8708
"975",8378
"976",8709
"977",8682
"978",8790
"979",8315
"980",8361
"981",7877
"982",8254
"983",7947
"984",8103
"985",8204
"986",8324
"987",8751
"988",8275
"989",8028
"990",7681
"991",8045
"992",7742
"993",7425
"994",6104
"995",7962
"996",8279
"997",8388
"998",8422
"999",8343
"1000",8527
"1001",8299
"1002",8372
"1003",7946
"1004",8049
"1005",NA
"1006",8283
"1007",8357
"1008",8156
"1009",8257
"1010",7815
"1011",7334
"1012",7375
"1013",8316
"1014",7926
"1015",7628
"1016",7402
"1017",8193
"1018",6795
"1019",7575
"1020",NA
"1021",8232
"1022",8208
"1023",8012
"1024",7958
"1025",7869
"1026",8309
"1027",8039
"1028",7830
"1029",7673
"1030",7275
"1031",8229
"1032",7718
"1033",8266
"1034",8255
"1035",7828
"1036",7671
"1037",7804
"1038",7582
"1039",7755
"1040",8212
"1041",7669
"1042",7589
"1043",7330
"1044",7609
"1045",7307
"1046",NA
"1047",7603
"1048",8009
"1049",7400
"1050",7831
"1051",8255
"1052",8148
"1053",8123
"1054",7857
"1055",7310
"1056",8052
"1057",7758
"1058",7698
"1059",7801
"1060",7551
"1061",7778
"1062",8365
"1063",8292
"1064",8056
"1065",7627
"1066",7244
"1067",7386
"1068",7901
"1069",7629
"1070",8026
"1071",7897
"1072",7191
"1073",7414
"1074",7627
"1075",7503
"1076",7240
"1077",7713
"1078",8456
"1079",7600
"1080",7780
"1081",6841
"1082",7978
"1083",7876
"1084",7306
"1085",8105
"1086",7282
"1087",6400
"1088",6514
"1089",6386
"1090",7836
"1091",7084
"1092",7558
"1093",7771
"1094",7938
"1095",7554
"1096",6280
"1097",6720
"1098",7725
"1099",7783
"1100",5892
"1101",7354
"1102",7765
"1103",7221
"1104",6641
"1105",5700
"1106",7578
"1107",7009
"1108",6980
"1109",6143
"1110",6379
"1111",8012
