"","mydata"
"979",4950
"980",4865
"981",4989
"982",4512
"983",4897
"984",4607
"985",4330
"986",5223
"987",4788
"988",4895
"989",5329
"990",4792
"991",4576
"992",3635
"993",4695
"994",2771
"995",4307
"996",5214
"997",4553
"998",5096
"999",3968
"1000",5187
"1001",5065
"1002",4889
"1003",3812
"1004",3863
"1005",NA
"1006",4817
"1007",4228
"1008",4403
"1009",4837
"1010",4375
"1011",3961
"1012",3531
"1013",4534
"1014",4755
"1015",4305
"1016",3913
"1017",4580
"1018",3777
"1019",4275
"1020",NA
"1021",4520
"1022",4472
"1023",4504
"1024",4317
"1025",4333
"1026",4557
"1027",4032
"1028",4947
"1029",4051
"1030",3820
"1031",4089
"1032",4060
"1033",4413
"1034",3937
"1035",3610
"1036",4091
"1037",3952
"1038",3927
"1039",3283
"1040",4912
"1041",4616
"1042",5058
"1043",4034
"1044",4660
"1045",3992
"1046",NA
"1047",4930
"1048",3743
"1049",3888
"1050",3693
"1051",3854
"1052",4486
"1053",4626
"1054",4153
"1055",4228
"1056",4258
"1057",4116
"1058",3741
"1059",4251
"1060",4130
"1061",3919
"1062",4352
"1063",4213
"1064",4259
"1065",4585
"1066",3681
"1067",3415
"1068",4007
"1069",4779
"1070",4687
"1071",4513
"1072",4280
"1073",3948
"1074",4414
"1075",4483
"1076",4230
"1077",4099
"1078",4359
"1079",4447
"1080",4629
"1081",4009
"1082",4826
"1083",4447
"1084",4228
"1085",4520
"1086",3955
"1087",4174
"1088",3213
"1089",4045
"1090",4537
"1091",3502
"1092",3712
"1093",4872
"1094",4372
"1095",4272
"1096",3295
"1097",3649
"1098",4360
"1099",4407
"1100",4573
"1101",4385
"1102",4339
"1103",4197
"1104",4526
"1105",4401
"1106",2952
"1107",4145
"1108",4077
"1109",4204
"1110",3109
"1111",4574
"1112",3534
"1113",3704
"1114",2722
"1115",3930
"1116",4391
"1117",4947
"1118",4628
"1119",3621
"1120",5058
"1121",4734
"1122",4307
"1123",3279
"1124",3961
"1125",4570
"1126",4730
"1127",5272
"1128",4896
"1129",4860
"1130",4384
"1131",4237
"1132",4422
"1133",4217
"1134",3803
"1135",2974
"1136",4454
"1137",4061
"1138",4766
"1139",4762
"1140",4255
"1141",4745
"1142",4566
"1143",4669
"1144",4359
"1145",3759
"1146",4327
"1147",4375
"1148",3905
"1149",4081
"1150",4490
"1151",4404
"1152",4416
"1153",3514
"1154",4709
"1155",4409
"1156",4377
"1157",4827
"1158",4695
"1159",4053
"1160",4824
"1161",3787
"1162",3504
"1163",4562
"1164",4510
"1165",3931
"1166",3802
"1167",3359
"1168",4977
"1169",4000
"1170",4642
"1171",4603
"1172",4261
"1173",4201
"1174",4829
"1175",4196
"1176",4881
"1177",4701
"1178",4554
"1179",4405
"1180",4211
"1181",4187
"1182",5125
"1183",4556
"1184",4330
"1185",5121
"1186",5131
"1187",4596
"1188",4135
"1189",4878
"1190",4910
"1191",4377
"1192",4164
"1193",4407
"1194",4995
"1195",4279
"1196",4365
"1197",4757
"1198",4213
"1199",4185
"1200",4315
"1201",3624
"1202",4444
"1203",4819
"1204",4101
"1205",3823
"1206",3694
"1207",3353
"1208",3650
"1209",3793
"1210",3869
"1211",3946
"1212",3584
"1213",4122
"1214",3791
"1215",4209
"1216",3200
"1217",3776
"1218",4605
"1219",3567
"1220",3928
"1221",4213
"1222",3560
"1223",4256
"1224",4300
"1225",4135
"1226",3850
"1227",3863
"1228",3567
"1229",3332
"1230",3468
"1231",3763
"1232",3959
"1233",4151
"1234",4197
"1235",3964
"1236",3802
"1237",4196
"1238",3929
"1239",3789
"1240",3597
"1241",4046
"1242",3765
"1243",4220
"1244",3748
"1245",4015
"1246",4152
"1247",3994
"1248",3779
"1249",4500
"1250",4364
"1251",4053
"1252",4281
"1253",3923
"1254",4395
"1255",4158
"1256",3702
"1257",4201
"1258",4087
"1259",3624
"1260",3947
"1261",4271
"1262",4164
"1263",4293
"1264",4236
"1265",4468
"1266",4080
"1267",3831
"1268",3985
"1269",4226
"1270",3580
"1271",4315
"1272",4150
"1273",4639
"1274",4457
"1275",3721
"1276",3722
"1277",3496
"1278",4190
"1279",3958
"1280",4378
"1281",4354
"1282",3196
"1283",3820
"1284",4183
"1285",3771
"1286",3835
"1287",3688
"1288",4053
"1289",3828
"1290",4099
"1291",3938
"1292",3502
"1293",4016
"1294",4291
"1295",3776
"1296",3375
"1297",3769
"1298",3642
"1299",4365
"1300",3608
"1301",3902
"1302",3249
"1303",3968
"1304",3586
"1305",3896
"1306",3300
"1307",3950
"1308",3663
"1309",4166
"1310",3597
"1311",4144
"1312",3586
"1313",4306
"1314",4514
"1315",4169
"1316",4232
"1317",3906
"1318",4047
"1319",4191
"1320",3847
"1321",3556
"1322",3719
"1323",3206
"1324",4373
"1325",4467
"1326",4432
"1327",3879
"1328",4197
"1329",3666
"1330",3788
"1331",4020
"1332",4044
"1333",3744
"1334",4369
"1335",4279
"1336",4113
"1337",4215
"1338",4070
"1339",3904
"1340",4613
"1341",4223
"1342",3972
"1343",4002
"1344",3878
"1345",4309
"1346",4153
"1347",3832
"1348",3771
"1349",4003
"1350",4402
"1351",4182
"1352",3944
"1353",4009
"1354",3990
"1355",3851
"1356",3870
"1357",4192
"1358",4184
"1359",4287
"1360",4005
"1361",4224
"1362",4579
"1363",4587
"1364",4049
"1365",4308
"1366",4136
"1367",3950
